libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libsigc++-3.0 3.8.1-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.22-1.1
libsoup3 3.6.6-2
libsoxr 0.1.3-5.1
libspelling 0.4.10-1.1
libsrtp 1:2.8.0-1
libssh 0.12.2-1.1
libssh2 1.11.1-7.1
libstaroffice 0.0.8-1.1
libstdc++ 16.1.1+r595+g171d15ac6959-1
libstemmer 3.1.1-1.1
libsysprof-capture 50.0-4.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.2-1.1
libtiger 0.3.4-8.1
libtirpc 1.3.7-1.1
libtommath 1.3.0-2.1
libtool 2.6.2-3
libtsan 16.1.1+r595+g171d15ac6959-1
libubsan 16.1.1+r595+g171d15ac6959-1
libunibreak 7.0-1.1
libunistring 1.4.2-1.1
libunwind 1.8.2-1.1
libupnp 1.14.31-1.1
liburcu 0.15.6-1.1
liburing 2.15-1.1
libusb 1.0.30-1.1
libusb-compat 0.1.9-1.1
libusbmuxd 2.1.1-2.1
libutempter 1.2.3-1.1
libuv 1.52.1-1
libva 2.24.1-1.1
libva-nvidia-driver 0.0.17-1.1
libvdpau 1.5-4.1
libverto 0.3.2-6.1
libvisio 0.1.11-1.1
libvlc 3.0.23_2-9.1
libvorbis 1.3.7-4.1
libvpl 2.17.0-1.1
libvpx 1.16.0-3.1
libwacom 2.19.1-1
libwbclient 2:4.24.5-1.1
libwebp 1.6.0-2.1
libwireplumber 0.5.15-1.1
libwpd 0.10.3-6.1
libwps 0.4.14-4.1
libx11 1.8.13-1.1
libx86emu 3.7-2.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcrypt-compat 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-2.1
libxext 1.3.7-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.9-1.1
libxft 2.3.9-1.2
libxi 1.8.3-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.2-1.1
libxkbcommon-x11 1.13.2-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.3-1.1
libxmlb 0.3.29-1.1
libxmu 1.3.1-1.1
libxnvctrl 610.43.03-1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxres 1.2.3-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
